Rosyjski,Polski
я,I
не,Nie
что,Co
в,V
и,I
ты,Ty
это,Ten
на,NA
с,Z
он,On
мы,My
как,Jak
вы,Ty
да,Tak
мне,do mnie
у,Na
нет,NIE
меня,Ja
так,Więc
но,Ale
а,A
его,jego
все,Wszystko
она,ona
тебя,Ty
о,O
если,Jeśli
за,Do
бы,zrobiłbym
тебе,Ty
они,Oni
чтобы,Do
же,To samo
есть,Jest
просто,Tylko
из,z
к,Do
для,Dla
ну,Dobrze
когда,Gdy
хорошо,Cienki
здесь,Tutaj
по,Przez
был,był
знаю,Ja wiem
то,To
только,tylko
всё,Wszystko
было,był
вас,Ty
может,Może
нас,nas
вот,Tutaj
от,z
быть,Być
кто,Kto
будет,będzie
почему,Dlaczego
вам,do ciebie
их,ich
очень,Bardzo
могу,Móc
уже,już
спасибо,Dziękuję
или,Lub
нам,nas
еще,więcej
там,Tam
нужно,potrzebować
сейчас,Teraz
где,Gdzie
чем,Jak
хочу,Chcieć
ничего,Nic
этого,Ten
была,był
мой,Mój
ее,jej
ладно,OK
знаешь,Wiesz
п,P
до,Do
этом,Ten
потому,Dlatego
теперь,Teraz
думаю,Myśleć
больше,więcej
её,jej
со,z
раз,raz
ему,do niego
надо,niezbędny
время,czas
этот,Ten
ли,czy
ещё,więcej
пока,Do widzenia
даже,nawet
привет,Cześć
сказал,powiedział
себя,ja
должен,musieć
тоже,To samo
хочешь,Chcieć
давай,Chodźmy
что-то,coś
никогда,nigdy
эй,Hej
того,Togo
тогда,Następnie
него,jego
ни,NIE
тут,Tutaj
были,był
конечно,Z pewnością
правда,Prawda
об,o
моя,Mój
пожалуйста,Proszę
тобой,Ty
сказать,mowić
сегодня,Dzisiaj
один,jeden
лучше,lepsza
можешь,Móc
сюда,Tutaj
мной,Ja
значит,Oznacza
сделать,Do
всегда,Zawsze
дело,sprawa
можно,Móc
ей,do niej
должны,powinien
порядке,w porządku
без,bez
день,dzień
том,tom
буду,będzie
делать,Do
хотел,poszukiwany
чего,Co
эти,te
много,wiele
после,Po
этим,Ten
всего,całkowity
во,W
твой,twój
ним,jego
лет,lat
боже,Bóg
них,ich
сэр,pan
ведь,Mimo wszystko
мистер,Pan
жизнь,życie
потом,Następnie
ней,jej
такой,taki
который,Który
всех,wszyscy
через,Poprzez
им,ich
возможно,Może
немного,Trochę
такое,taki
слишком,za dużo
себе,do siebie
зачем,Po co?
должна,powinien
моей,kopalnia
люди,Ludzie
знаете,"Wiesz, że"
этой,Ten
думаешь,myślisz?
свою,Mój
точно,Dokładnie
человек,Człowiek
твоя,twój
под,pod 
сказала,powiedział
назад,z powrotem
из-за,z powodu
эту,ten
можем,Móc
случилось,wydarzyło się
мама,Matka
мог,mógł
вместе,razem
отец,ojciec
сделал,zrobił
мои,Mój
кажется,Wydaje się
друг,Przyjaciel
куда,Gdzie
никто,nikt
поэтому,Dlatego
эта,Ten
которые,Który
два,dwa
тот,To
сколько,Ile
понимаю,Zrozumieć
снова,Ponownie
жизни,życie
нравится,tak jak
людей,ludzie
помочь,pomoc
видел,piła
люблю,Kocham
хочет,chce
место,miejsce
знать,wiedzieć
кто-то,ktoś
прости,wybacz mi
отлично,Świetnie
похоже,"Wygląda na to, że"
парень,chłopiec
домой,dom
всем,dla wszystkich
деньги,pieniądze
иди,Iść
времени,czas
дома,Domy
именно,Dokładnie
доктор,lekarz
думал,myśl
говорил,szprycha
делаешь,robisz
будем,my będziemy
прямо,bezpośrednio
стоит,koszty
поговорить,rozmawiać
найти,znajdować
разве,Naprawdę
слушай,Słuchać
своей,jego własny
лишь,tylko
ага,Tak
можете,możesz
простите,Przepraszam
хотела,poszukiwany
сам,ja
что-нибудь,coś
тем,te
будешь,będziesz
прошу,Proszę
три,trzy
деле,sprawa
хотите,chcesz
говорить,mówić
давайте,Chodźmy
совсем,w ogóle
знал,wiedział
знает,wie
какой,Który
моего,Mój
скажи,Powiedzieć
дом,dom
дела,sprawy
вами,Ty
свои,ich
ж,I
говорит,mówi
несколько,Niektóre
должно,powinien
про,o
ваш,twój
происходит,dzieje się
жаль,szkoda
туда,Tam
действительно,Naprawdę
папа,tata
завтра,Jutro
оно,To
черт,gówno
одна,jeden
перед,zanim
наш,nasz
уверен,Jasne
отсюда,stąd
нужна,wymagany
самом,się
тех,te
нужен,wymagany
свой,kopalnia
мою,kopalnia
кого,kogo
верно,Prawidłowy
работу,praca
каждый,każdy
твоей,twój
будут,będzie
хватит,wystarczająco 
понял,Zrozumiany
нее,jej
уж,już
имя,Nazwa
против,przeciwko
кое-что,coś
пор,pory
чём,Jak
раньше,wcześniej
говорю,Mówię
более,więcej
надеюсь,Mieć nadzieję
итак,Więc
при,Na
ваша,twój
вообще,w ogóle
пошли,wszedł 
мать,matka
нельзя,to jest zakazane
наверное,Może
нами,nas
твои,twój
могли,mógł
дай,dawać
ради,przez wzgląd na
всю,Wszystko
ребята,Chłopaki
ко,ko
хотя,Chociaż
понимаешь,zrozumieć
идти,Iść
этих,te
откуда,Gdzie
такая,taki
ясно,To jest jasne
другой,inny
извините,Przepraszam
вижу,Widzę
видеть,Widzieć
над,nad
могут,Móc
равно,równa się
мисс,Chybić
скоро,Wkrótce
будто,jak gdyby
зовут,oni dzwonią
виду,pogląd
наши,nasz
думала,Myślałem
послушай,Słuchać
между,między
своего,jego własny
вопрос,pytanie
этому,do tego
почти,prawie
года,lat
человека,człowiek
которая,Który
подожди,Czekać
руки,siła robocza
нормально,Cienki
такие,taki
возьми,weź to
минут,protokół
извини,Przepraszam
вещи,rzeczy
могла,mógł
смотри,Patrzeć
хоть,co najmniej
работа,Stanowisko
пару,para
сын,syn
ваше,twój
дня,dni
пора,czas nadszedł
неё,jej
жить,na żywo
видишь,widzisz
достаточно,wystarczająco 
господи,Bóg
быстро,szybko
твою,twój
весь,Wszystko
убить,zabić
ночь,noc
говоришь,mówisz
собой,samemu
скажу,Powiem ci
готов,gotowy
слышал,usłyszał
какая,Który
посмотри,Patrzeć
первый,Pierwszy
самое,najbardziej
видела,Widziałem
пусть,pozwalać
месте,miejsce
нашли,znaleziony
сказали,powiedzieli
плохо,Źle
смогу,Mogę
ваши,twój
отца,ojciec
детей,dzieci
знаем,wiemy
рад,zadowolony
прав,Prawidłowy
никаких,nic
имею,Ja mam
миссис,Pani.
иногда,Czasami
смерти,śmierć
своих,ich własne
пойду,Pójdę
брат,Brat
вроде,tak jak
рядом,w pobliżu
мир,świat
произошло,wydarzyło się
которую,Który
сделала,zrobił
говорила,szprycha
знала,wiedział
мое,Mój
одного,jeden
таким,tak
помощь,pomoc
такого,taki
кем,przez kogo
насчет,o
вчера,Wczoraj
случае,sprawa
увидеть,Widzieć
нашей,nasz
говорят,Mówią
правильно,Prawidłowy
убил,zabity
одно,jeden
пойти,Iść
друга,przyjaciel
сама,się
долго,od dawna
работать,praca
дверь,drzwi
делает,robi
женщина,kobieta
важно,ważny
кроме,z wyjątkiem
будь,Być
собираюсь,Idę do
вашей,twój
нужны,wymagany
здорово,Świetnie
номер,numer
проблема,problem
проблемы,problemy
денег,pieniądze
чёрт,gówno
хороший,Dobry
твоего,twój
